Day,Sold Units,Restocked Units,Available Units
0,0,2000,2000
1,30,0,1970
2,128,0,1842
3,188,0,1654
4,73,0,1581
5,124,0,1457
6,98,0,1359
7,0,641,2000
8,174,0,1826
9,50,0,1776
10,109,0,1667
11,88,0,1579
12,147,0,1432
13,194,0,1238
14,0,762,2000
15,93,0,1907
16,160,0,1747
17,3,0,1744
18,145,0,1599
19,98,0,1501
20,88,0,1413
21,0,587,2000
22,41,0,1959
23,119,0,1840
24,99,0,1741
25,167,0,1574
26,132,0,1442
27,85,0,1357
28,0,643,2000
29,2,0,1998
30,56,0,1942
31,188,0,1754
32,143,0,1611
33,172,0,1439
34,136,0,1303
35,0,697,2000
36,106,0,1894
37,131,0,1763
38,82,0,1681
39,20,0,1661
40,157,0,1504
41,42,0,1462
42,0,538,2000
43,183,0,1817
44,99,0,1718
45,55,0,1663
46,143,0,1520
47,97,0,1423
48,60,0,1363
49,0,637,2000
